date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:14:10	93325/93325	---MCZ	200	added ('OK')	text/html	etag:%2216c8d-5f04f4ecbe33a-gzip%22	https://wasatchforge.com/	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/index.html	(from )
20:14:10	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Oct%202023%2002:14:11%20GMT	https://wasatchforge.com/robots.txt		(from )
20:14:10	0/0	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%220-5da71b36cd8f5%22	https://wasatchforge.com/favicon.ico	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/favicon.ico	(from https://wasatchforge.com/)
20:14:10	12337/12337	---M--	200	added ('OK')	image/png	etag:%223031-5cfd14a316d07%22	https://wasatchforge.com/apple-touch-icon.png	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/apple-touch-icon.png	(from https://wasatchforge.com/)
20:14:11	1591/1591	---M--	200	added ('OK')	image/png	etag:%22637-5cfd14a3276a5%22	https://wasatchforge.com/favicon-32x32.png	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/favicon-32x32.png	(from https://wasatchforge.com/)
20:14:11	720/720	---M--	200	added ('OK')	image/png	etag:%222d0-5cfd14a316d07%22	https://wasatchforge.com/favicon-16x16.png	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/favicon-16x16.png	(from https://wasatchforge.com/)
20:14:11	290/290	---M--	200	added ('OK')	text/html	etag:%22122-5f04f4ecbc3fa%22	https://wasatchforge.com/site.webmanifest	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/site.html	(from https://wasatchforge.com/)
20:14:11	2347/2347	---M--	200	added ('OK')	application/javascript	etag:%2292b-5f04f4e9988e8%22	https://wasatchforge.com/_nuxt/3cc029c67e2cfacc0f05.js	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/_nuxt/3cc029c67e2cfacc0f05.js	(from https://wasatchforge.com/)
20:14:11	166140/166140	---M--	200	added ('OK')	application/javascript	etag:%22288fc-5f04f4e9b5da6%22	https://wasatchforge.com/_nuxt/d2aa86f4bec59706ae44.js	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/_nuxt/d2aa86f4bec59706ae44.js	(from https://wasatchforge.com/)
20:14:12	128562/128562	---M--	200	added ('OK')	application/javascript	etag:%221f632-5f04f4e9a34c7%22	https://wasatchforge.com/_nuxt/87c5d99e621b41f5a441.js	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/_nuxt/87c5d99e621b41f5a441.js	(from https://wasatchforge.com/)
20:14:12	7862/7862	---M--	200	added ('OK')	application/javascript	etag:%221eb6-5f04f4e9ab1c7%22	https://wasatchforge.com/_nuxt/349ba3e179cddb234b9f.js	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/_nuxt/349ba3e179cddb234b9f.js	(from https://wasatchforge.com/)
20:14:12	246/246	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2004%20Oct%202023%2002:14:14%20GMT	https://wasatchforge.com/book-lessons	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/book-lessons	(from https://wasatchforge.com/)
